,year,date,race_id,grand_prix,circuit_ref,circuit_name,country,winner_driver,won_home_race,url
1037,1960,1960-06-06,749,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Netherlands,jack_brabham,False,http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix
1038,1960,1960-05-30,748,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,rathmann,False,http://en.wikipedia.org/wiki/1960_Indianapolis_500
1039,1960,1960-05-29,747,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,moss,False,http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix
1040,1960,1960-02-07,746,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Argentina,mclaren,False,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix
1041,1959,1959-12-12,764,United States Grand Prix,sebring,Sebring International Raceway,USA,mclaren,False,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
1042,1959,1959-09-13,763,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,moss,False,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
1043,1959,1959-08-23,762,Portuguese Grand Prix,monsanto,Monsanto Park Circuit,Portugal,moss,False,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
1044,1959,1959-08-02,761,German Grand Prix,avus,AVUS,Germany,brooks,False,http://en.wikipedia.org/wiki/1959_German_Grand_Prix
1045,1959,1959-07-18,760,British Grand Prix,aintree,Aintree,UK,jack_brabham,False,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
1046,1959,1959-07-05,759,French Grand Prix,reims,Reims-Gueux,France,brooks,False,http://en.wikipedia.org/wiki/1959_French_Grand_Prix
1047,1959,1959-05-31,758,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Netherlands,bonnier,False,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
1048,1959,1959-05-30,757,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,ward,False,http://en.wikipedia.org/wiki/1959_Indianapolis_500
1049,1959,1959-05-10,756,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,jack_brabham,False,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
1050,1958,1958-10-19,775,Moroccan Grand Prix,ain-diab,Ain Diab,Morocco,moss,False,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
1051,1958,1958-09-07,774,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,brooks,False,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
1052,1958,1958-08-24,773,Portuguese Grand Prix,boavista,Circuito da Boavista,Portugal,moss,False,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
1053,1958,1958-08-03,772,German Grand Prix,nurburgring,Nürburgring,Germany,brooks,False,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
1054,1958,1958-07-19,771,British Grand Prix,silverstone,Silverstone Circuit,UK,collins,True,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
1055,1958,1958-07-06,770,French Grand Prix,reims,Reims-Gueux,France,hawthorn,False,http://en.wikipedia.org/wiki/1958_French_Grand_Prix
1056,1958,1958-06-15,769,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,brooks,False,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
1057,1958,1958-05-30,768,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,bryan,False,http://en.wikipedia.org/wiki/1958_Indianapolis_500
1058,1958,1958-05-26,767,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Netherlands,moss,False,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
1059,1958,1958-05-18,766,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,trintignant,False,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
1060,1958,1958-01-19,765,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Argentina,moss,False,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix
1061,1957,1957-09-08,783,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,moss,False,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix
1062,1957,1957-08-18,782,Pescara Grand Prix,pescara,Pescara Circuit,Italy,moss,False,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix
1063,1957,1957-08-04,781,German Grand Prix,nurburgring,Nürburgring,Germany,fangio,False,http://en.wikipedia.org/wiki/1957_German_Grand_Prix
1064,1957,1957-07-20,780,British Grand Prix,aintree,Aintree,UK,brooks,True,http://en.wikipedia.org/wiki/1957_British_Grand_Prix
1065,1957,1957-07-20,780,British Grand Prix,aintree,Aintree,UK,moss,True,http://en.wikipedia.org/wiki/1957_British_Grand_Prix
1066,1957,1957-07-07,779,French Grand Prix,essarts,Rouen-Les-Essarts,France,fangio,False,http://en.wikipedia.org/wiki/1957_French_Grand_Prix
1067,1957,1957-05-30,778,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,hanks,False,http://en.wikipedia.org/wiki/1957_Indianapolis_500
1068,1957,1957-05-19,777,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,fangio,False,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix
1069,1957,1957-01-13,776,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Argentina,fangio,False,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix
1070,1956,1956-09-02,791,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,moss,False,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix
1071,1956,1956-08-05,790,German Grand Prix,nurburgring,Nürburgring,Germany,fangio,False,http://en.wikipedia.org/wiki/1956_German_Grand_Prix
1072,1956,1956-07-14,789,British Grand Prix,silverstone,Silverstone Circuit,UK,fangio,False,http://en.wikipedia.org/wiki/1956_British_Grand_Prix
1073,1956,1956-07-01,788,French Grand Prix,reims,Reims-Gueux,France,collins,False,http://en.wikipedia.org/wiki/1956_French_Grand_Prix
1074,1956,1956-06-03,787,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,collins,False,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix
1075,1956,1956-05-30,786,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,flaherty,False,http://en.wikipedia.org/wiki/1956_Indianapolis_500
1076,1956,1956-05-13,785,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,moss,False,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix
1077,1956,1956-01-22,784,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Argentina,musso,False,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix
1078,1956,1956-01-22,784,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Argentina,fangio,False,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix
1079,1955,1955-09-11,798,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,fangio,False,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix
1080,1955,1955-07-16,797,British Grand Prix,aintree,Aintree,UK,moss,True,http://en.wikipedia.org/wiki/1955_British_Grand_Prix
1081,1955,1955-06-19,796,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Netherlands,fangio,False,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix
1082,1955,1955-06-05,795,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,fangio,False,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix
1083,1955,1955-05-30,794,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,sweikert,False,http://en.wikipedia.org/wiki/1955_Indianapolis_500
1084,1955,1955-05-22,793,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,trintignant,False,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix
1085,1955,1955-01-16,792,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Argentina,fangio,False,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix
1086,1954,1954-10-24,807,Spanish Grand Prix,pedralbes,Circuit de Pedralbes,Spain,hawthorn,False,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix
1087,1954,1954-09-05,806,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,fangio,False,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix
1088,1954,1954-08-22,805,Swiss Grand Prix,bremgarten,Circuit Bremgarten,Switzerland,fangio,False,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix
1089,1954,1954-08-01,804,German Grand Prix,nurburgring,Nürburgring,Germany,fangio,False,http://en.wikipedia.org/wiki/1954_German_Grand_Prix
